channel_name,cluster,subscribers,total_views,total_videos
MBest11x,AW,1410000,216707190,94
lacigreen,L,1380000,157927158,184
Vox,L,9290000,2393899979,1267
GoldSilver (w/ Mike Maloney),R,625000,91204924,706
Anthony Brian Logan,R,800000,141002970,2037
VICE Life,L,674000,109639572,222
ABC News,C,11100000,9402576636,58353
Randy Rainbow,L,672000,117305704,153
Sarah Z,L,362000,22007708,45
"Don't Walk, Run! Productions",AW,450000,72469612,213
Jreg,AW,335000,58646213,255
Some More News,L,496000,44658843,113
RT,C,4190000,3300062862,54136
Philip DeFranco,C,6320000,1151664326,921
The Damage Report,L,665000,462749984,6077
ThinkTank,L,1310000,501189655,6226
vlogbrothers,L,3360000,854267899,1915
The Verge,L,3100000,887462157,3972
Charisma on Command,C,4440000,404157062,309
Thunderf00t,AW,987000,291826230,875
The Daily Show with Trevor Noah,L,9130000,3925293556,3163
Cosmopolitan,L,1390000,486806432,2563
The Atlantic,L,570000,147893530,869
The Young Turks,L,5110000,5356198783,41608
Hoover Institution,R,499000,86591158,1260
Styxhexenhammer666,R,483000,323208355,6722
LastWeekTonight,L,8630000,2893069901,336
ContraPoints,L,1290000,57044234,28
No B.S.,AW,614000,166232910,1430
truTV,L,2750000,3632862639,5321
JRE Clips,AW,5870000,4004745640,5394
RT America,C,1150000,573185721,30153
NTD,R,1340000,328073557,2829
WIRED,L,7540000,2406902239,3162
People,L,773000,483407807,10807
The Epoch Times,R,489000,58900820,1408
CNN,L,12200000,9486011483,150959
Diamond and Silk - The Viewers View,R,326000,46548585,1466
Knowing Better,L,629000,54835450,103
E;R,AW,373000,42792576,54
Bustle,L,494000,233684201,1206
Secular Talk,L,957000,827525093,15257
New York Post,R,538000,478709516,6836
The Amazing Lucas,AW,421000,132852285,1954
Late Night with Seth Meyers,L,4150000,2307996311,3652
CBS News,C,3580000,2766018087,82112
Your Black World,C,415000,118397943,11968
Bearing,AW,521000,66209351,415
Project Veritas,R,892000,94860903,710
Quartz,L,454000,83220075,770
GQ,L,6040000,2232805265,1712
