label,user_percent,year,month
L,0.00412084649842278,2016,1
C,0.00243840956253551,2016,1
R,0.00144682844974941,2016,1
fR,0.00123999960650858,2016,1
AW,0.000674023208754853,2016,1
fL,0.000333033376330308,2016,1
L,0.00608808292468693,2016,2
C,0.00245285325056515,2016,2
R,0.00208708399959441,2016,2
fR,0.00114886953107146,2016,2
AW,0.000779631413434474,2016,2
fL,0.000340685812125477,2016,2
L,0.00640210746448226,2016,3
C,0.00277981000938273,2016,3
R,0.00227369857349167,2016,3
fR,0.00140191549185102,2016,3
AW,0.000641406512184609,2016,3
fL,0.000264162415343812,2016,3
L,0.00542545039354505,2016,4
C,0.00250668699281414,2016,4
R,0.00166208887555699,2016,4
fR,0.00120637073821076,2016,4
AW,0.000808244081813468,2016,4
fL,0.000286610020946997,2016,4
L,0.00501146965162394,2016,5
C,0.00349361185613536,2016,5
R,0.00204305272320705,2016,5
fR,0.00167551118208653,2016,5
AW,0.00089303841698928,2016,5
fL,0.000342723448483012,2016,5
L,0.00492402998050296,2016,6
C,0.00233064674272396,2016,6
R,0.0021951608985365,2016,6
fR,0.00137054066306846,2016,6
AW,0.00106112956420027,2016,6
fL,0.000332532645736092,2016,6
L,0.00594910042964793,2016,7
C,0.00427191518263391,2016,7
R,0.00270471762391357,2016,7
fR,0.0018355993229985,2016,7
AW,0.00123007561151103,2016,7
fL,0.000375485795890578,2016,7
L,0.004960957826335,2016,8
C,0.0026938010232177,2016,8
fR,0.00195549411633925,2016,8
R,0.00185793957460631,2016,8
AW,0.00112014232076562,2016,8
fL,0.000513306801728948,2016,8
L,0.00527416906072597,2016,9
C,0.00322670277340091,2016,9
R,0.00252309166015795,2016,9
fR,0.00208567792143958,2016,9
AW,0.00107651757846806,2016,9
fL,0.000289474003477055,2016,9
L,0.00681660549902983,2016,10
R,0.00280786178164905,2016,10
C,0.00255259352188512,2016,10
fR,0.00226855229638985,2016,10
AW,0.00113779206665553,2016,10
fL,0.000277318458982926,2016,10
L,0.00717614847257893,2016,11
C,0.00411720242247917,2016,11
R,0.00296377183851052,2016,11
fR,0.00246355236834361,2016,11
AW,0.00124497906024553,2016,11
fL,0.000314217322956529,2016,11
L,0.00448706164857835,2016,12
R,0.00313887890076279,2016,12
C,0.00286055999865984,2016,12
fR,0.00167855248756434,2016,12
AW,0.00108451681692165,2016,12
fL,0.000433690160047412,2016,12
L,0.00638609022150372,2017,1
C,0.003478223777157,2017,1
R,0.00219936220653912,2017,1
fR,0.00193503709675405,2017,1
AW,0.00104308355093271,2017,1
fL,0.000355816761240458,2017,1
L,0.00655316049755359,2017,2
C,0.00321194841977147,2017,2
fR,0.00181309337854746,2017,2
R,0.00168202221074995,2017,2
