label,duration,percentage_duration,total_duration,year,month
AW,310521551.659163,0.00141964705460594,218731515450.759,2016,1
C,639804538.372653,0.00292506791741534,218731515450.759,2016,1
L,1983311594.7528,0.00906733348720061,218731515450.759,2016,1
R,709429091.313838,0.00324337848550017,218731515450.759,2016,1
fR,689966604.208054,0.00315439959708678,218731515450.759,2016,1
AW,529051542.269809,0.00221388734170474,238969496009.868,2016,2
C,699007916.573413,0.00292509265092373,238969496009.868,2016,2
L,2834914480.22072,0.0118630809687261,238969496009.868,2016,2
R,806612693.44485,0.00337537931373275,238969496009.868,2016,2
fR,710449349.349998,0.00297297086537212,238969496009.868,2016,2
AW,492539896.591629,0.00184774068917067,266563322157.882,2016,3
C,997849262.29131,0.00374338545233277,266563322157.882,2016,3
L,3329656084.85707,0.0124910511239988,266563322157.882,2016,3
R,1136152561.4285,0.00426222389573753,266563322157.882,2016,3
fR,1509593444.61291,0.00566317013305678,266563322157.882,2016,3
AW,746015030.385714,0.00306882661882369,243094551451.613,2016,4
C,1017825220.94856,0.00418695201052728,243094551451.613,2016,4
L,2406245206.28984,0.00989839217671152,243094551451.613,2016,4
R,751785542.876409,0.00309256434744096,243094551451.613,2016,4
fR,1181981210.35178,0.00486222831113946,243094551451.613,2016,4
AW,712412164.234862,0.00312444792007305,228012174457.434,2016,5
C,927481385.304218,0.00406768361168085,228012174457.434,2016,5
L,2361037933.7245,0.0103548766171925,228012174457.434,2016,5
R,1030051960.63907,0.0045175305357713,228012174457.434,2016,5
fR,864521051.460213,0.00379155654086183,228012174457.434,2016,5
AW,1155618516.69699,0.00528982012835099,218460833952.256,2016,6
C,806744666.479186,0.00369285721327741,218460833952.256,2016,6
L,1962315408.45484,0.00898245865381844,218460833952.256,2016,6
R,607013742.531928,0.00277859299330785,218460833952.256,2016,6
fR,783179325.97363,0.00358498734901283,218460833952.256,2016,6
AW,842212452.287788,0.0033185545339554,253788944454.666,2016,7
C,1521538861.73103,0.0059952921314223,253788944454.666,2016,7
