year,month,label,median_duration
2016,3,R,98.66666667
2016,3,L,136.3333333
2016,3,fR,123.3333333
2016,3,C,101.3333333
2016,3,AW,127
2016,4,R,107.6666667
2016,4,L,135.6666667
2016,4,fR,132
2016,4,C,103.3333333
2016,4,AW,111.6666667
2016,5,R,113.3333333
2016,5,L,135
2016,5,fR,127
2016,5,C,110
2016,5,AW,107.6666667
2016,6,R,108.3333333
2016,6,L,132.6666667
2016,6,fR,120.6666667
2016,6,C,115
2016,6,AW,111.3333333
2016,7,R,109
2016,7,L,135.3333333
2016,7,fR,121.6666667
2016,7,C,119
2016,7,AW,115.3333333
2016,8,R,102.6666667
2016,8,L,139.6666667
2016,8,fR,124
2016,8,C,118.6666667
2016,8,AW,116.6666667
2016,9,R,97.66666667
2016,9,L,143.6666667
2016,9,fR,124
2016,9,C,118.6666667
2016,9,AW,128
2016,10,R,97.33333333
2016,10,L,143.6666667
2016,10,fR,126.3333333
2016,10,C,110.6666667
2016,10,AW,140
2016,11,R,91
2016,11,L,143.6666667
2016,11,fR,134.6666667
2016,11,C,110
2016,11,AW,147
2016,12,R,83
2016,12,L,140
2016,12,fR,145.6666667
2016,12,C,115
2016,12,AW,145.3333333
2017,1,R,68.66666667
2017,1,L,137.6666667
2017,1,fR,147
2017,1,C,118
2017,1,AW,139.6666667
2017,2,R,69.66666667
2017,2,L,128.6666667
2017,2,fR,150.6666667
2017,2,C,113.6666667
2017,2,AW,133.6666667
2017,3,R,63.33333333
2017,3,L,126.6666667
2017,3,fR,151.6666667
2017,3,C,111.3333333
2017,3,AW,130.3333333
2017,4,R,58
2017,4,L,125.6666667
2017,4,fR,146
2017,4,C,111.3333333
2017,4,AW,134
2017,5,R,55.66666667
2017,5,L,133
2017,5,fR,143
2017,5,C,116.3333333
2017,5,AW,143
2017,6,R,70.66666667
2017,6,L,138.6666667
2017,6,fR,149
2017,6,C,124.6666667
2017,6,AW,156.3333333
2017,7,R,93.33333333
2017,7,L,145
2017,7,fR,176
2017,7,C,131.3333333
2017,7,AW,164
2017,8,R,91.33333333
2017,8,L,146.3333333
2017,8,fR,195
2017,8,C,138.3333333
2017,8,AW,159
2017,9,R,73
2017,9,L,148.6666667
2017,9,fR,201.6666667
2017,9,C,125.3333333
2017,9,AW,157
2017,10,R,54.66666667
2017,10,L,149.6666667
2017,10,fR,203
2017,10,C,119.6666667
2017,10,AW,146
2017,11,R,40.66666667
2017,11,L,154
2017,11,fR,209
2017,11,C,119
2017,11,AW,151
2017,12,R,63
2017,12,L,155.3333333
2017,12,fR,230
2017,12,C,132.3333333
2017,12,AW,156.3333333
2018,1,R,68
2018,1,L,156.6666667
2018,1,fR,208.6666667
2018,1,C,143.6666667
2018,1,AW,165.3333333
2018,2,R,108.6666667
2018,2,L,155.3333333
2018,2,fR,194.6666667
2018,2,C,136.3333333
2018,2,AW,166.6666667
2018,3,R,115.6666667
2018,3,L,151.6666667
2018,3,fR,156.3333333
2018,3,C,131.6666667
2018,3,AW,165
2018,4,R,128.3333333
2018,4,L,147
2018,4,fR,155
2018,4,C,125
2018,4,AW,169
2018,5,R,124.3333333
2018,5,L,146
2018,5,fR,149
2018,5,C,130
2018,5,AW,168.6666667
2018,6,R,114.3333333
2018,6,L,144.6666667
2018,6,fR,149.6666667
2018,6,C,128.3333333
2018,6,AW,161.6666667
2018,7,R,119.6666667
2018,7,L,146.3333333
2018,7,fR,167.6666667
2018,7,C,124
2018,7,AW,151
2018,8,R,107.3333333
2018,8,L,152
2018,8,fR,172
2018,8,C,122.3333333
2018,8,AW,162
2018,9,R,117
2018,9,L,162
2018,9,fR,171.3333333
2018,9,C,125.3333333
2018,9,AW,158.6666667
2018,10,R,113.3333333
2018,10,L,173
2018,10,fR,162
2018,10,C,129.6666667
2018,10,AW,167.6666667
2018,11,R,121.6666667
2018,11,L,179.6666667
2018,11,fR,173
2018,11,C,136
2018,11,AW,167
2018,12,R,114.6666667
2018,12,L,167.6666667
2018,12,fR,196.6666667
2018,12,C,133.6666667
2018,12,AW,184.3333333
2019,1,R,141
2019,1,L,143.6666667
2019,1,fR,215
2019,1,C,151.3333333
2019,1,AW,193.6666667
2019,2,R,150
2019,2,L,140
2019,2,fR,204
2019,2,C,151.6666667
2019,2,AW,191.6666667
2019,3,R,177.6666667
2019,3,L,146.3333333
2019,3,fR,199
2019,3,C,154.3333333
