year,month,label,median_user_watchtime
2016,3,C,6.994444444
2016,3,fR,9.891666667
2016,3,AW,9.183333333
2016,3,L,8.352777778
2016,3,R,5.219444444
2016,4,C,6.877777778
2016,4,fR,9.988888889
2016,4,AW,9.866666667
2016,4,L,8.141666667
2016,4,R,5.711111111
2016,5,C,6.775
2016,5,fR,9.736111111
2016,5,AW,10.225
2016,5,L,8.113888889
2016,5,R,6.486111111
2016,6,C,6.802777778
2016,6,fR,9.544444444
2016,6,AW,10.90833333
2016,6,L,7.869444444
2016,6,R,6.305555556
2016,7,C,6.936111111
2016,7,fR,8.769444444
2016,7,AW,11.39166667
2016,7,L,8.261111111
2016,7,R,6.344444444
2016,8,C,7.105555556
2016,8,fR,7.997222222
2016,8,AW,11.175
2016,8,L,8.333333333
2016,8,R,5.9
2016,9,C,7.322222222
2016,9,fR,7.658333333
2016,9,AW,11.73055556
2016,9,L,8.622222222
2016,9,R,6.394444444
2016,10,C,7.588888889
2016,10,fR,7.830555556
2016,10,AW,12.81944444
2016,10,L,8.744444444
2016,10,R,6.9
2016,11,C,7.916666667
2016,11,fR,7.8
2016,11,AW,12.07222222
2016,11,L,8.988888889
2016,11,R,6.827777778
2016,12,C,8.444444444
2016,12,fR,9.405555556
2016,12,AW,12.25277778
2016,12,L,8.877777778
2016,12,R,6.816666667
2017,1,C,8.083333333
2017,1,fR,9.488888889
2017,1,AW,11.39722222
2017,1,L,9.066666667
2017,1,R,6.944444444
2017,2,C,8.325
2017,2,fR,10.175
2017,2,AW,14.91388889
2017,2,L,9.491666667
2017,2,R,7.533333333
2017,3,C,7.975
2017,3,fR,10.42777778
2017,3,AW,16.35
2017,3,L,10.18333333
2017,3,R,7.638888889
2017,4,C,8.711111111
2017,4,fR,10.57222222
2017,4,AW,18.61111111
2017,4,L,10.48888889
2017,4,R,7.755555556
2017,5,C,8.944444444
2017,5,fR,10.91388889
2017,5,AW,19.62777778
2017,5,L,10.58055556
2017,5,R,7.35
2017,6,C,9.697222222
2017,6,fR,9.688888889
2017,6,AW,19.65555556
2017,6,L,10.775
2017,6,R,6.702777778
2017,7,C,10.22777778
2017,7,fR,10.75555556
2017,7,AW,19.07777778
2017,7,L,11.28055556
2017,7,R,5.847222222
2017,8,C,10.41388889
2017,8,fR,10.18333333
2017,8,AW,17.24444444
2017,8,L,10.98333333
2017,8,R,6.525
2017,9,C,10.38888889
2017,9,fR,11.33888889
2017,9,AW,17.91666667
2017,9,L,10.25833333
2017,9,R,6.744444444
2017,10,C,9.977777778
2017,10,fR,10.3
2017,10,AW,16.25
2017,10,L,9.797222222
2017,10,R,7.577777778
2017,11,C,10.46111111
2017,11,fR,12.42777778
2017,11,AW,15.32222222
2017,11,L,10.15555556
2017,11,R,6.752777778
2017,12,C,10.52222222
2017,12,fR,12.03888889
2017,12,AW,13.60277778
2017,12,L,10.56111111
2017,12,R,7.369444444
2018,1,C,10.36111111
2018,1,fR,12.35833333
2018,1,AW,15.04722222
2018,1,L,10.78611111
2018,1,R,7.302777778
2018,2,C,9.708333333
2018,2,fR,12.58333333
2018,2,AW,16.23333333
2018,2,L,10.63888889
2018,2,R,8.377777778
2018,3,C,9.530555556
2018,3,fR,14.01111111
2018,3,AW,16.48611111
2018,3,L,10.94722222
2018,3,R,7.461111111
2018,4,C,9.530555556
2018,4,fR,15.27222222
2018,4,AW,16.89166667
2018,4,L,10.78333333
2018,4,R,6.911111111
2018,5,C,9.416666667
2018,5,fR,14.89722222
2018,5,AW,17.96666667
2018,5,L,10.33055556
2018,5,R,6.383333333
2018,6,C,8.772222222
2018,6,fR,13.08333333
2018,6,AW,18.96666667
2018,6,L,10.52222222
2018,6,R,7.422222222
2018,7,C,8.633333333
2018,7,fR,15.09166667
2018,7,AW,18.33055556
2018,7,L,10.24722222
2018,7,R,7.9
2018,8,C,8.566666667
2018,8,fR,13.95833333
2018,8,AW,17.24166667
2018,8,L,10.97222222
2018,8,R,7.730555556
2018,9,C,9.075
2018,9,fR,17.18888889
2018,9,AW,18.15277778
2018,9,L,10.68888889
2018,9,R,7.963888889
2018,10,C,8.930555556
2018,10,fR,13.65
2018,10,AW,17.58888889
2018,10,L,10.91944444
2018,10,R,7.363888889
2018,11,C,9.191666667
2018,11,fR,15.4
2018,11,AW,18.13333333
2018,11,L,11.46111111
2018,11,R,7.216666667
2018,12,C,9.163888889
2018,12,fR,13.61111111
2018,12,AW,18.5
2018,12,L,11.88333333
2018,12,R,5.933333333
2019,1,C,10.08055556
2019,1,fR,13.85555556
2019,1,AW,19.06944444
2019,1,L,11.97777778
2019,1,R,6.394444444
2019,2,C,9.475
2019,2,fR,11.9
2019,2,AW,18.20833333
2019,2,L,11.81666667
2019,2,R,7.35
2019,3,C,9.533333333
2019,3,fR,13.63888889
2019,3,AW,16.51666667
2019,3,L,11.76111111
2019,3,R,7.866666667
2019,4,C,8.933333333
2019,4,fR,14.25277778
2019,4,AW,18.81666667
2019,4,L,12.41666667
2019,4,R,8.511111111
2019,5,C,9.055555556
2019,5,fR,16.53888889
2019,5,AW,20.89444444
2019,5,L,12.56111111
2019,5,R,8.5
2019,6,C,9.55
2019,6,fR,13.17777778
2019,6,AW,23.33611111
2019,6,L,12.76111111
2019,6,R,8.436111111
2019,7,C,9.802777778
2019,7,fR,17.26944444
2019,7,AW,19.88333333
2019,7,L,12.38888889
2019,7,R,7.933333333
2019,8,C,10.13611111
2019,8,fR,15.21666667
2019,8,AW,18.43055556
2019,8,L,11.74444444
2019,8,R,7.794444444
2019,9,C,9.341666667
2019,9,fR,18.26944444
2019,9,AW,15.66666667
2019,9,L,11.33611111
2019,9,R,8.325
2019,10,C,9.161111111
2019,10,fR,14.24444444
2019,10,AW,17.14722222
2019,10,L,10.94166667
2019,10,R,8.711111111
2019,11,C,8.922222222
2019,11,fR,15.43888889
2019,11,AW,19.66666667
2019,11,L,11.25555556
2019,11,R,8.894444444
2019,12,C,8.661111111
2019,12,fR,14.56944444
2019,12,AW,19.94166667
2019,12,L,11.48888889
2019,12,R,8.783333333
2020,1,C,8.097222222
2020,1,fR,12.39444444
2020,1,AW,21.25
2020,1,L,12.225
2020,1,R,8.658333333
2020,2,C,7.672222222
2020,2,fR,11.025
2020,2,AW,17.35555556
2020,2,L,12.00833333
2020,2,R,7.977777778
2020,3,C,7.911111111
2020,3,fR,11.36944444
2020,3,AW,17.12777778
2020,3,L,11.62222222
2020,3,R,8.75
2020,4,C,8.375
2020,4,fR,12.69166667
2020,4,AW,17.34444444
2020,4,L,10.64166667
2020,4,R,8.919444444
2020,5,C,8.75
2020,5,fR,10.58333333
2020,5,AW,19.75
2020,5,L,10.35833333
2020,5,R,9.061111111
2020,6,C,8.791666667
2020,6,fR,7.694444444
2020,6,AW,21.16111111
2020,6,L,10.51388889
2020,6,R,9.044444444
2020,7,C,8.891666667
2020,7,fR,9.458333333
2020,7,AW,18.84166667
2020,7,L,10.675
2020,7,R,9.280555556
2020,8,C,8.830555556
2020,8,fR,9.522222222
2020,8,AW,19.46111111
2020,8,L,10.45555556
2020,8,R,9.805555556
2020,9,C,8.522222222
2020,9,fR,10.25555556
2020,9,AW,20.54166667
2020,9,L,9.844444444
2020,9,R,9.688888889
2020,10,C,8.063888889
2020,10,fR,7.425
2020,10,AW,22.37222222
2020,10,L,10.17777778
2020,10,R,9.891666667
2020,11,C,8.452777778
2020,11,fR,8.952777778
2020,11,AW,22.91944444
2020,11,L,11
2020,11,R,10.125
2020,12,C,8.525
2020,12,fR,8.080555556
2020,12,AW,20.90555556
2020,12,L,12.24444444
2020,12,R,10.275
2021,1,C,8.9
2021,1,fR,8.777777778
2021,1,AW,18.51666667
2021,1,L,12.53888889
2021,1,R,10.36944444
2021,2,C,9.097222222
2021,2,fR,9.702777778
2021,2,AW,15.50555556
2021,2,L,12.1
2021,2,R,10.58333333
2021,3,C,10.61944444
2021,3,fR,8.838888889
2021,3,AW,16.82777778
2021,3,L,11.76666667
2021,3,R,10.22222222
2021,4,C,11.46944444
2021,4,fR,8.225
2021,4,AW,19.76666667
2021,4,L,11.39722222
2021,4,R,10.34444444
2021,5,C,11.31666667
2021,5,fR,7.358333333
2021,5,AW,19.43888889
2021,5,L,11.64166667
2021,5,R,10.62777778
2021,6,C,9.966666667
2021,6,fR,7.002777778
2021,6,AW,17.30555556
2021,6,L,11.91944444
2021,6,R,10.92222222
2021,7,C,8.866666667
2021,7,fR,6.972222222
2021,7,AW,14.70555556
2021,7,L,11.78055556
2021,7,R,10.01666667
2021,8,C,8.394444444
2021,8,fR,8.427777778
2021,8,AW,15.90555556
2021,8,L,11.575
2021,8,R,10.25555556
2021,9,C,8.461111111
2021,9,fR,8.9
2021,9,AW,16.53055556
2021,9,L,10.96388889
2021,9,R,10.11111111
2021,10,C,8.811111111
2021,10,fR,9.277777778
2021,10,AW,17.35833333
2021,10,L,11.40555556
2021,10,R,11.77777778
2021,11,C,9.838888889
2021,11,fR,6.994444444
2021,11,AW,17.09722222
2021,11,L,11.93888889
2021,11,R,12.8
2021,12,C,10.88611111
2021,12,fR,7.602777778
2021,12,AW,16.65555556
2021,12,L,11.64166667
2021,12,R,13.32222222
