year,month,label,median_duration
2016,1,C,110
2016,1,IDW,152
2016,1,L,134
2016,1,R,76
2016,1,fL,875
2016,1,fR,109
2016,2,C,100
2016,2,IDW,135
2016,2,L,132
2016,2,R,97
2016,2,fL,66
2016,2,fR,124
2016,3,C,94
2016,3,IDW,94
2016,3,L,143
2016,3,R,123
2016,3,fL,283
2016,3,fR,137
2016,4,C,116
2016,4,IDW,106
2016,4,L,132
2016,4,R,103
2016,4,fL,85
2016,4,fR,135
2016,5,C,120
2016,5,IDW,123
2016,5,L,130
2016,5,R,114
2016,5,fL,35
2016,5,fR,109
2016,6,C,109
2016,6,IDW,105
2016,6,L,136
2016,6,R,108
2016,6,fL,123
2016,6,fR,118
2016,7,C,128
2016,7,IDW,118
2016,7,L,140
2016,7,R,105
2016,7,fL,217
2016,7,fR,138
2016,8,C,119
2016,8,IDW,127
2016,8,L,143
2016,8,R,95
2016,8,fL,24
2016,8,fR,116
2016,9,C,109
2016,9,IDW,139
2016,9,L,148
2016,9,R,93
2016,9,fL,291
2016,9,fR,118
2016,10,C,104
2016,10,IDW,154
2016,10,L,140
2016,10,R,104
2016,10,fL,168
2016,10,fR,145
2016,11,C,117
2016,11,IDW,148
2016,11,L,143
2016,11,R,76
2016,11,fL,176
2016,11,fR,141
2016,12,C,124
2016,12,IDW,134
2016,12,L,137
2016,12,R,69
2016,12,fL,152
2016,12,fR,151
2017,1,C,113
2017,1,IDW,137
2017,1,L,133
2017,1,R,61
2017,1,fL,138
2017,1,fR,149
2017,2,C,104
2017,2,IDW,130
2017,2,L,116
2017,2,R,79
2017,2,fL,158
2017,2,fR,152
2017,3,C,117
2017,3,IDW,124
2017,3,L,131
2017,3,R,50
2017,3,fL,170
2017,3,fR,154
2017,4,C,113
2017,4,IDW,148
2017,4,L,130
2017,4,R,45
2017,4,fL,127
2017,4,fR,132
2017,5,C,119
2017,5,IDW,157
2017,5,L,138
2017,5,R,72
2017,5,fL,81
2017,5,fR,143
2017,6,C,142
2017,6,IDW,164
2017,6,L,148
2017,6,R,95
2017,6,fL,361
2017,6,fR,172
2017,7,C,133
2017,7,IDW,171
2017,7,L,149
2017,7,R,113
2017,7,fL,239
2017,7,fR,213
2017,8,C,140
2017,8,IDW,142
2017,8,L,142
2017,8,R,66
2017,8,fL,60
2017,8,fR,200
2017,9,C,103
2017,9,IDW,158
2017,9,L,155
2017,9,R,40
2017,9,fL,141
2017,9,fR,192
2017,10,C,116
2017,10,IDW,138
2017,10,L,152
2017,10,R,58
2017,10,fL,115
2017,10,fR,217
2017,11,C,138
2017,11,IDW,157
2017,11,L,155
2017,11,R,24
