year,month,monthly_cat_duration,median_user_watchtime,label
2016,1,490.5,8.175,L
2016,2,496.0,8.266666666666667,L
2016,3,517.0,8.616666666666667,L
2016,4,452.5,7.541666666666667,L
2016,5,491.0,8.183333333333334,L
2016,6,473.0,7.883333333333334,L
2016,7,523.0,8.716666666666667,L
2016,8,504.0,8.4,L
2016,9,525.0,8.75,L
2016,10,545.0,9.083333333333334,L
2016,11,548.0,9.133333333333333,L
2016,12,505.0,8.416666666666666,L
2017,1,579.0,9.65,L
2017,2,624.5,10.408333333333333,L
2017,3,629.5,10.491666666666667,L
2017,4,634.0,10.566666666666666,L
2017,5,641.0,10.683333333333334,L
2017,6,664.5,11.075,L
2017,7,725.0,12.083333333333334,L
2017,8,587.5,9.791666666666666,L
2017,9,534.0,8.9,L
2017,10,642.0,10.7,L
2017,11,652.0,10.866666666666667,L
2017,12,607.0,10.116666666666667,L
2018,1,682.5,11.375,L
2018,2,625.5,10.425,L
2018,3,662.5,11.041666666666666,L
2018,4,653.0,10.883333333333333,L
2018,5,544.0,9.066666666666666,L
2018,6,697.0,11.616666666666667,L
2018,7,603.5,10.058333333333334,L
2018,8,674.5,11.241666666666667,L
2018,9,646.0,10.766666666666667,L
2018,10,645.0,10.75,L
2018,11,772.0,12.866666666666667,L
2018,12,722.0,12.033333333333333,L
2019,1,662.0,11.033333333333333,L
2019,2,743.0,12.383333333333333,L
2019,3,712.0,11.866666666666667,L
2019,4,780.0,13.0,L
2019,5,769.0,12.816666666666666,L
2019,6,748.0,12.466666666666667,L
2019,7,713.0,11.883333333333333,L
2019,8,653.0,10.883333333333333,L
2019,9,674.5,11.241666666666667,L
2019,10,642.0,10.7,L
2019,11,709.5,11.825,L
2019,12,716.5,11.941666666666666,L
2020,1,774.5,12.908333333333333,L
2020,2,670.5,11.175,L
2020,3,647.0,10.783333333333333,L
2020,4,598.0,9.966666666666667,L
2020,5,619.5,10.325,L
2020,6,675.0,11.25,L
2020,7,627.0,10.45,L
2020,8,580.0,9.666666666666666,L
2020,9,565.0,9.416666666666666,L
2020,10,687.0,11.45,L
2020,11,728.0,12.133333333333333,L
2020,12,789.0,13.15,L
2021,1,740.0,12.333333333333334,L
2021,2,649.0,10.816666666666666,L
2021,3,729.0,12.15,L
2021,4,673.5,11.225,L
2021,5,693.0,11.55,L
2021,6,779.0,12.983333333333333,L
2021,7,648.5,10.808333333333334,L
2021,8,656.0,10.933333333333334,L
2021,9,669.0,11.15,L
2021,10,728.0,12.133333333333333,L
2021,11,752.0,12.533333333333333,L
2021,12,615.5,10.258333333333333,L
2016,1,466.0,7.766666666666667,C
2016,2,402.0,6.7,C
2016,3,391.0,6.516666666666667,C
2016,4,445.0,7.416666666666667,C
2016,5,383.5,6.391666666666667,C
2016,6,396.0,6.6,C
2016,7,469.0,7.816666666666666,C
2016,8,414.0,6.9,C
2016,9,435.0,7.25,C
2016,10,517.0,8.616666666666667,C
2016,11,473.0,7.883333333333334,C
2016,12,530.0,8.833333333333334,C
2017,1,452.0,7.533333333333333,C
2017,2,516.5,8.608333333333333,C
2017,3,467.0,7.783333333333333,C
2017,4,584.5,9.741666666666667,C
2017,5,558.5,9.308333333333334,C
2017,6,602.5,10.041666666666666,C
2017,7,680.0,11.333333333333334,C
2017,8,592.0,9.866666666666667,C
2017,9,598.0,9.966666666666667,C
2017,10,606.0,10.1,C
2017,11,679.0,11.316666666666666,C
2017,12,609.0,10.15,C
2018,1,577.0,9.616666666666667,C
2018,2,561.5,9.358333333333333,C
2018,3,577.0,9.616666666666667,C
2018,4,577.0,9.616666666666667,C
2018,5,541.0,9.016666666666667,C
2018,6,461.0,7.683333333333334,C
2018,7,552.0,9.2,C
2018,8,529.0,8.816666666666666,C
2018,9,552.5,9.208333333333334,C
2018,10,526.0,8.766666666666667,C
2018,11,576.0,9.6,C
2018,12,547.5,9.125,C
2019,1,691.0,11.516666666666667,C
